_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sun Sep 19 23:52:20 IST 2021;false
_ga;GA1.2.1835606514.1632075680;.guru99.com;/;Tue Sep 19 23:51:30 IST 2023;false
PHPSESSID;c2rvia4oje3690orsmnuk9sam1;demo.guru99.com;/;null;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1962982525.1632075680;.guru99.com;/;Mon Sep 20 23:51:30 IST 2021;false
